Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
2.0,4,All Wheel Drive,56,6.7,Petrol,208,350,Automatic,230,5 Seater,7.3,4.425,1.815,1.530,2.700,430,Infiniti QX30 2021 2.0T Luxe Sensory (AWD) ,"174,500",AED
3.5,6,Front Wheel Drive,74,12.0,Petrol,280,355,Automatic,180,8 Seater,7.0,5.183,1.995,1.767,3.000,1093,Honda Odyssey 2021 3.5L Touring,"184,900",AED
2.0,4,All Wheel Drive,60,7.2,Petrol,250,350,Automatic,230,5 Seater,6.5,4.425,1.910,1.652,2.702,460,Volvo XC40 2021 2.0T T5 AWD R Design,"174,900",AED
2.0,4,Front Wheel Drive,54,7.2,Petrol,190,300,Automatic,230,5 Seater,6.5,4.425,1.910,1.652,2.702,460,Volvo XC40 2021 2.0T T4 FWD Momentum,"149,900",AED
2.0,4,Front Wheel Drive,54,7.2,Petrol,190,300,Automatic,230,5 Seater,6.5,4.425,1.910,1.652,2.702,460,Volvo XC40 2021 2.0T T4 R Design ,"169,900",AED
2.0,N/A,Rear Wheel Drive,41,5.6,Petrol,204,300,Automatic,245,5 Seater,7.1,4.686,1.810,1.442,2.840,481,Mercedes-Benz C-Class 2021 C 200,"175,000",AED
3.6,6,Rear Wheel Drive,72,10.0,Petrol,335,383,Automatic,250,4 Seater,5.1,4.784,1.897,1.348,2.811,258,Chevrolet Camaro Coupe 2021 3.6L 3LT,"179,700",AED
3.2,6,All Wheel Drive,60,10.1,Petrol,271,324,Automatic,185,5 Seater,8.4,4.624,1.860,1.681,2.718,841,Jeep Cherokee 2021 3.2L Limited ,"129,900",AED
2.0,4,All Wheel Drive,60,9.8,Petrol,235,350,Automatic,200,5 Seater,7.2,4.630,1.845,1.630,2.660,500,Lexus NX 2021 300 Premier,"190,000",AED
2.0,4,All Wheel Drive,56,6.6,Petrol,211,350,Automatic,230,5 Seater,6.6,4.424,1.804,1.494,2.699,421,Mercedes-Benz GLA 2021 250 4MATIC,"175,000",AED
4.8,6,All Wheel Drive,135,17.2,Petrol,280,451,Automatic,190,7 Seater,10.8,5.080,1.940,1.855,2.970,668,Nissan Patrol Safari 2021 Safari A/T ,"175,500",AED
4.8,6,All Wheel Drive,135,17.2,Petrol,280,451,Automatic,190,7 Seater,10.8,5.080,1.940,1.855,2.970,668,Nissan Patrol Safari 2021 Super Safari A/T  ,"190,000",AED
4.8,6,All Wheel Drive,135,17.2,Petrol,280,451,Automatic,190,7 Seater,10.8,5.080,1.940,1.855,2.970,668,Nissan Patrol Safari 2021 Falcon A/T   ,"174,000",AED
4.8,6,All Wheel Drive,135,17.2,Petrol,280,451,Automatic,190,7 Seater,10.8,5.080,1.940,1.855,2.970,668,Nissan Patrol Safari 2021 Gazelle A/T    ,"229,000",AED
4.8,6,All Wheel Drive,135,17.2,Petrol,280,451,Automatic,190,7 Seater,10.8,5.080,1.940,1.855,2.970,668,Nissan Patrol Safari 2021 Gazelle A/T    ,"229,000",AED
4.8,6,All Wheel Drive,135,17.2,Petrol,280,451,Automatic,190,7 Seater,10.8,5.080,1.940,1.855,2.970,668,Nissan Patrol Safari 2021 Gazelle X A/T,"298,000",AED
3.6,6,Rear Wheel Drive,93,11.0,Petrol,295,353,Automatic,197,7 Seater,7.6,5.110,1.925,1.847,3.043,487,Dodge Durango 2021 3.6L GT(RWD),"149,900",AED
2.0,4,All Wheel Drive,68.5,8.0,Petrol,200,320,Automatic,207,5 Seater,9.0,4.599,2.069,1.724,2.741,981,Land Rover Discovery Sport 2021 2.0T SE (AWD),"232,680",AED
3.6,6,Rear Wheel Drive,70,10.2,Petrol,305,363,Automatic,200,5 Seater,6.6,5.027,1.923,1.460,2.950,459,Dodge Challenger 2021 3.6L SXT,"123,900",AED
3.6,6,Rear Wheel Drive,70,10.2,Petrol,305,363,Automatic,200,5 Seater,6.6,5.027,1.923,1.460,2.950,459,Dodge Challenger 2021 3.6L GT,"138,900",AED
3.6,6,Rear Wheel Drive,70,10.2,Petrol,300,358,Automatic,200,5 Seater,6.6,5.027,1.923,1.460,2.950,459,Dodge Challenger 2021 3.6L GTS,"154,900",AED
2.0,4,Front Wheel Drive,58,6.9,Petrol,180,320,Automatic,206,5 Seater,7.4,4.385,2.019,1.608,2.603,460,Audi Q3 2021 40 TFSI (180 HP) ,"155,610",AED
2.0,4,Front Wheel Drive,58,6.9,Petrol,180,320,Automatic,206,5 Seater,7.4,4.385,2.019,1.608,2.603,460,Audi Q3 2021 40 TFSI Advanced (180 HP),"162,540",AED
2.0,4,Front Wheel Drive,58,6.9,Petrol,180,320,Automatic,206,5 Seater,7.4,4.385,2.019,1.608,2.603,460,Audi Q3 2021 40 TFSI S-line (180 HP),"170,940",AED
2.0,4,Front Wheel Drive,44,5.8,Petrol,192,280,Automatic,225,4 Seater,7.1,3.850,1.727,1.415,2.495,160,Mini Convertible 2021 Cooper S,"192,000",AED
3.7,6,Rear Wheel Drive,95,14.7,Petrol,275,340,Automatic,155,2 Seater,8.8,6.758,2.065,2.778,3.759,"13,800",Ford Transit 2021 3.7L 350XL (High Roof) Extended Length,"186,795",AED
3.7,N/A,Rear Wheel Drive,95,14.7,Petrol,275,340,Automatic,155,2 Seater,8.8,6.758,2.065,2.778,3.759,Null,Ford Transit 2021 3.7L 350XL HD DRW (Long-wheelbase),"166,845",AED
2.0,4,All Wheel Drive,88.5,10.0,Petrol,300,400,Automatic,191,5 Seater,8.0,4.583,2.008,1.969,2.587,397,Land Rover Defender 2021 90 SE (P300),"253,890",AED
2.0,4,All Wheel Drive,88.5,10.0,Petrol,300,400,Automatic,191,5 Seater,8.0,4.583,2.008,1.969,2.587,397,Land Rover Defender 2021 90 SE Base (P300) ,"231,105",AED
3.0,6,All Wheel Drive,90,10.0,Petrol,400,550,Automatic,208,5 Seater,6.1,4.583,2.008,1.969,2.587,397,Land Rover Defender 2021 90 HSE (P400) ,"300,090",AED
3.0,6,All Wheel Drive,90,10.0,Petrol,400,550,Automatic,208,5 Seater,6.1,4.583,2.008,1.969,2.587,397,Land Rover Defender 2021 90 HSE (P400) ,"300,090",AED
3.0,6,All Wheel Drive,90,10.0,Petrol,400,550,Automatic,208,5 Seater,6.1,4.583,2.008,1.969,2.587,397,Land Rover Defender 2021 90 X (P400) ,"372,120",AED
5.3,N/A,All Wheel Drive,136,13.4,Petrol,355,518,Automatic,180,6 Seater,7.8,6.128 ,2.063,1.915,3.987,1727,Chevrolet Silverado 2021 5.3 V8 RST,"147,100",AED
3.0,6,Rear Wheel Drive,80,9.0,Petrol,300,400,Automatic,250,5 Seater,5.5,4.810,1.820,1.455,2.850,500,Infiniti Q50 2021 3.0T Luxe,"178,500",AED
3.7,6,Rear Wheel Drive,80,12.0,Petrol,330,360,Automatic,225,5 Seater,5.6,4.945,1.845,1.500,2.900,500,Infiniti Q70 2021 3.7L Luxe,"179,000",AED
3.5,6,All Wheel Drive,74,10.2,Petrol,295,350,Automatic,195,7 Seater,7.9,5.092,1.960,1.813,2.900,447,Infiniti QX60 2021 3.5L Luxe ,"174,000",AED
6.6,8,All Wheel Drive,136,16.8,Petrol,401,629,Automatic,180,6 Seater,9.0,6.352,2.079,2.027,4.037,1727,Chevrolet Silverado 2021 6.6L LT (Heavy Duty),"179,200",AED
5.7,8,Rear Wheel Drive,72,12.4,Petrol,363,535,Automatic,234,5 Seater,5.6,5.044,1.905,1.483,3.053,462,Chrysler 300C 2021 5.7L V8 Luxury ,"174,900",AED
3.7,6,Rear Wheel Drive,72,10.8,Petrol,350,363,Automatic,250,2 Seater,5.5,4.250,1.845,1.315,2.550,235,Nissan 370Z 2021 Coupe (Nismo Edition),"184,500",AED
2.0,4,All Wheel Drive,51,6.6,Petrol,192,280,Automatic,225,5 Seater,7.2,4.299,1.822,1.557,2.670,450,Mini Countryman 2021 Cooper S ALL4,"217,700",AED
2.0,4,Rear Wheel Drive,52,6.5,Petrol,218,310,Automatic,243,5 Seater,6.2,4.329,1.984,1.440,2.690,360,BMW 1 Series 2021 125i,"153,900",AED
2.0,4,Rear Wheel Drive,72,10.6,Petrol,268,400,Automatic,240,5 Seater,5.9,4.966,1.834,1.453,2.911,388,Cadillac CTS 2021 2.0L Turbo Base,"189,000",AED
2.0,4,Rear Wheel Drive,50,5.9,Petrol,204,300,Automatic,245,4 Seater,7.1,4.686,1.810,1.405,2.840,400,Mercedes-Benz C-Class Coupe 2021 C 200,"185,000",AED
2.0,4,All Wheel Drive,68.5,8.0,Petrol,200,320,Automatic,216,5 Seater,8.2,4.395,1.984,1.649,2.681,577,Jaguar E-Pace 2021 2.0T S (200 PS),"177,450",AED
2.0,4,All Wheel Drive,68.5,8.0,Petrol,200,320,Automatic,216,5 Seater,8.2,4.395,1.984,1.649,2.681,577,Jaguar E-Pace 2021 2.0T S Plus (200 PS) ,"195,300",AED
2.0,4,All Wheel Drive,68.5,8.0,Petrol,200,320,Automatic,216,5 Seater,8.2,4.395,1.984,1.649,2.681,577,Jaguar E-Pace 2021 2.0T S Plus (200 PS) ,"195,300",AED
3.6,6,All Wheel Drive,70,11.0,Petrol,285,353,Automatic,180,4 Seater,7.0,4.237,1.875,1.869,2.459,898,Jeep Wrangler 2021 3.6L V6 Rubicon X (2-Door),"192,900",AED
5.3,8,All Wheel Drive,136,13.4,Petrol,355,518,Automatic,172,6 Seater,9.0,6.128 ,2.063,1.915,3.987,1727,Chevrolet Silverado 2021 5.3 V8 Trail Boss,"154,200",AED
3.6,6,All Wheel Drive,93,10.0,Petrol,290,350,Automatic,190,5 Seater,8.3,4.828,1.943,1.792,2.916,782,Jeep Grand Cherokee 2021 3.6L Laredo,"144,900",AED
3.6,6,All Wheel Drive,93,10.0,Petrol,290,350,Automatic,190,5 Seater,8.3,4.828,1.943,1.792,2.916,782,Jeep Grand Cherokee 2021 3.6L Laredo 4x2,"129,900",AED
3.0,6,All Wheel Drive,90,9.9,Petrol,400,550,Automatic,208,5 Seater,6.1,5.018,2.008,1.965,3.022,1075,Land Rover Defender 2021 110 HSE (P400),"312,165",AED
2.0,4,All Wheel Drive,90,10.0,Petrol,300,400,Automatic,191,5 Seater,8.0,5.018,2.008,1.965,3.022,1075,Land Rover Defender 2021 110 S (P300) ,"252,210",AED
3.0,6,All Wheel Drive,90,9.9,Petrol,400,550,Automatic,208,5 Seater,6.1,5.018,2.008,1.965,3.022,1075,Land Rover Defender 2021 110 X (P400),"381,150",AED
5.0,8,Rear Wheel Drive,60,12.3,Petrol,460,569,Automatic,240,4 Seater,4.7,4.783,2.080,1.382,2.720,382,Ford Mustang 2021 5.0L V8 Fastback GT,"245,595",AED
2.0,N/A,Front Wheel Drive,51,6.0,Petrol,192,280,Automatic,225,5 Seater,7.7,4.439,2.060,1.612,2.670,505,BMW X1 2021 sDrive20i,"177,000",AED
3.3,6,All Wheel Drive,60,10.6,Petrol,365,510,Automatic,270,5 Seater,4.9,4.830,1.870,1.400,2.905,406,Kia Stinger 2021 3.3T AWD Full Option (370 PS),"175,000",AED
3.6,6,Rear Wheel Drive,70,10.7,Petrol,300,358,Automatic,210,5 Seater,6.5,5.040,1.905,1.479,3.052,455,Dodge Charger 2021 3.6L GT,"124,900",AED
3.6,6,Rear Wheel Drive,70,10.7,Petrol,300,358,Automatic,210,5 Seater,6.5,5.040,1.905,1.479,3.052,455,Dodge Charger 2021 3.6L GTS,"139,900",AED
3.6,6,Rear Wheel Drive,70,10.2,Petrol,305,363,Automatic,200,5 Seater,6.6,5.027,1.923,1.460,2.950,459,Dodge Challenger 2021 3.6L Supertrack S,"189,500",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.916,2.084,1.971,3.672,1500,RAM 1500 2021 5.7L Laramie (Double Cab),"189,900",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.916,2.084,1.971,3.672,1500,RAM 1500 2021 5.7L Grand Laramie (Double Cab) ,"207,900",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.916,2.084,1.971,3.672,1500,RAM 1500 2021 5.7L Rebel one (Double Cab)  ,"215,900",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.916,2.084,1.971,3.672,1500,RAM 1500 2021 5.7L Limited (Double Cab) ,"255,900",AED
2.0,4,All Wheel Drive,48,5.9,Petrol,192,280,Automatic,228,5 Seater,7.1,4.253,1.800,1.441,2.670,360,Mini Clubman 2021 Cooper S ALL4,"197,700",AED
5.3,8,All Wheel Drive,100,13.0,Petrol,355,383,Automatic,180,9 Seater,7.5,5.351,2.057,1.927,3.070,2038,Chevrolet Tahoe 2021 5.3L LS 4WD,"184,900",AED
2.0,4,All Wheel Drive,58,6.3,Petrol,252,370,Automatic,250,5 Seater,5.8,4.726,1.842,1.427,2.820,480,Audi A4 2021 45 TFSI quattro Design (252 HP),"199,000",AED
4.0,6,All Wheel Drive,140,11.8,Petrol,275,395,Automatic,200,8 Seater,11.5,5.165,1.995,1.940,3.075,550,Nissan Patrol 2021 4.0L XE ,"199,900",AED
3.5,N/A,All Wheel Drive,106,11.0,Petrol,385,629,Automatic,185,8 Seater,7.5,5.233,2.024,1.960,3.022,528,Ford Expedition 2021 3.5L EcoBoost XLT,"232,995",AED
4.0,6,All Wheel Drive,150,13.0,Petrol,271,381,Automatic,200,7 Seater,9.0,4.990,1.885 ,1.889,2.790 ,742,Toyota Land Cruiser Prado 2021 4.0L VXR,"189,900",AED
2.0,N/A,Rear Wheel Drive,63,6.3,Petrol,247,365,Automatic,250,5 Seater,6.3,4.672,1.967,1.462,2.835,455,Jaguar XE 2021 2.0T SE (250 PS) ,"212,730",AED
3.0,6,Rear Wheel Drive,80,9.0,Petrol,300,400,Automatic,250,5 Seater,5.5,4.810,1.820,1.455,2.850,500,Infiniti Q50 2021 3.0T Sport,"195,500",AED
3.0,6,Rear Wheel Drive,80,9.0,Petrol,300,400,Automatic,250,5 Seater,5.5,4.810,1.820,1.455,2.850,500,Infiniti Q50 2021 3.0T Sport,"195,500",AED
2.0,4,Front Wheel Drive,58,5.5,Petrol,190,320,Automatic,240,5 Seater,7.5,4.733,1.843,1.386,2.824,480,Audi A5 Sportback 2021 40 TFSI Advanced (190 HP),"203,500",AED
2.0,4,Front Wheel Drive,58,5.5,Petrol,190,320,Automatic,240,5 Seater,7.5,4.733,1.843,1.386,2.824,480,Audi A5 Sportback 2021 40 TFSI S-Line (190 HP) ,"211,050",AED
2.0,4,All Wheel Drive,63,7.4,Petrol,246,365,Automatic,217,5 Seater,6.8,4.746,2.070,1.693,2.874,650,Jaguar F-Pace 2021 2.0T Pure (250 PS),"209,160",AED
2.0,4,Front Wheel Drive,54,5.4,Petrol,190,320,Automatic,240,4 Seater,7.3,4.673,1.846,1.371,2.764,465,Audi A5 Coupe 2021 40 TFSI Advanced (190 HP) ,"204,650",AED
2.0,4,Front Wheel Drive,54,5.4,Petrol,190,320,Automatic,240,4 Seater,7.3,4.673,1.846,1.371,2.764,465,Audi A5 Coupe 2021 40 TFSI S-line (190 HP) ,"212,200",AED
5.3,8,Rear Wheel Drive,117,13.0,Petrol,355,519,Automatic,175,9 Seater,10.0,5.690,2.045,1.890,3.302,2172,Chevrolet Suburban 2021 5.3L LS 2WD, TBD ,Null
2.0,N/A,Rear Wheel Drive,60,6.1,Petrol,184,300,Automatic,237,2 Seater,6.9,4.133,1.810,1.301,2.430,335,Mercedes-Benz SLC 2021 200,"199,000",AED
2.0,4,Front Wheel Drive,55,6.7,Petrol,254,350,Automatic,230,5 Seater,6.8,4.963,2.019,1.443,2.941,382,Volvo S90 2021 T5 FWD Momentum,"184,900",AED
3.6,6,All Wheel Drive,70,11.0,Petrol,285,353,Automatic,185,5 Seater,7.0,4.173,1.877,1.842,2.423,362,Jeep Wrangler Unlimited 2021 3.6L V6 Rubicon X,"207,900",AED
3.6,6,Rear Wheel Drive,93,10.5,Petrol,290,353,Automatic,197,7 Seater,7.5,5.110,1.925,1.847,3.043,487,Dodge Durango 2021 3.6L GT Black Top (RWD),"154,900",AED
2.0,4,Rear Wheel Drive,63,6.3,Petrol,250,365,Automatic,250,5 Seater,6.5,4.672,1.967,1.462,2.835,455,Jaguar XE 2021 2.0T R-Dynamic (250 PS),"243,495",AED
3.3,6,Rear Wheel Drive,60,11.1,Petrol,370,520,Automatic,270,5 Seater,4.7,4.685,1.850,1.400,2.835,Null,Genesis G70 2021 3.3T Royal,"203,900",AED
2.0,4,All Wheel Drive,60,7.9,Petrol,306,450,Automatic,260,5 Seater,4.9,4.299,1.822,1.557,2.670,450,Mini Countryman 2021 John Cooper Works ALL4,"269,100",AED
3.5,6,All Wheel Drive,72,10.7,Petrol,296,370,Automatic,200,5 Seater,7.5,4.890,1.895,1.690,2.790,453,Lexus RX 2021 350 Premier,"230,000",AED
3.5,6,All Wheel Drive,72,10.7,Petrol,296,370,Automatic,200,5 Seater,7.5,4.890,1.895,1.690,2.790,453,Lexus RX 2021 350 Premier,"230,000",AED
3.3,N/A,All Wheel Drive,87,11.2,Petrol,292,365,Automatic,160,6 Seater,6.0,5.890,2.463,1.948,3.670,1568,Ford F-150 2021 3.3L V6 Crew Cab XL ,"188,895",AED
3.3,N/A,All Wheel Drive,87,11.2,Petrol,292,365,Automatic,160,6 Seater,6.0,5.890,2.463,1.948,3.670,1568,Ford F-150 2021 3.3L V6 XLT Sport R/C,"193,095",AED
2.0,N/A,Rear Wheel Drive,50,5.9,Petrol,184,300,Automatic,240,5 Seater,7.7,4.923,1.852,1.468,2.939,540,Mercedes-Benz E-Class Saloon 2021 E 200,"205,000",AED
2.0,N/A,Rear Wheel Drive,66,6.8,Petrol,258,370,Automatic,250,5 Seater,5.9,4.686,1.810,1.442,2.840,481,Mercedes-Benz C-Class 2021 C 300,"205,000",AED
2.0,N/A,All Wheel Drive,66,7.1,Petrol,211,350,Automatic,222,5 Seater,7.3,4.656,1.890,1.639,2.873,550,Mercedes-Benz GLC-Class 2021 GLC 250 4MATIC,"205,000",AED
3.5,6,All Wheel Drive,74,10.2,Petrol,295,350,Automatic,195,7 Seater,7.9,5.094,1.960,1.722,2.900,447,Infiniti QX60 2021 3.5L Luxe Sensory ,"198,000",AED
2.0,N/A,Rear Wheel Drive,50,6.6,Petrol,204,300,Automatic,235,4 Seater,7.8,4.686,1.810,1.409,2.840,360,Mercedes-Benz C Class Cabriolet 2021 C 200 Cabriolet,"205,000",AED
2.0,N/A,Rear Wheel Drive,70,6.8,Petrol,184,270,Automatic,235,5 Seater,7.9,4.907,2.102,1.462,2.968,520,BMW 5 Series 2021 520i,"199,000",AED
5.3,8,All Wheel Drive,136,13.4,Petrol,355,518,Automatic,180,6 Seater,7.8,6.128 ,2.063,1.945,3.987,1727,Chevrolet Silverado 2021 5.3 V8 LTZ,"190,300",AED
2.0,4,All Wheel Drive,60,9.8,Petrol,235,350,Automatic,200,5 Seater,7.2,4.630,1.845,1.630,2.660,500,Lexus NX 2021 300 Platinum,"215,000",AED
5.3,8,All Wheel Drive,117,13.0,Petrol,355,519,Automatic,175,9 Seater,10.0,5.690,2.045,1.890,3.302,2172,Chevrolet Suburban 2021 5.3L LS 4WD, TBD ,Null
5.3,8,All Wheel Drive,117,13.0,Petrol,355,519,Automatic,175,9 Seater,10.0,5.690,2.045,1.890,3.302,2172,Chevrolet Suburban 2021 5.3L LS 4WD, TBD ,Null
6.6,8,All Wheel Drive,136,16.8,Petrol,401,629,Automatic,180,6 Seater,9.0,6.352,2.079,2.027,4.037,1727,Chevrolet Silverado 2021 6.6L WT (Heavy Duty) ,"147,600",AED
3.8,6,Rear Wheel Drive,77,10.7,Petrol,315,397,Automatic,240,5 Seater,6.3,4.990,1.890,1.480,3.010,493,Genesis G80 2021 3.8L Platinum,"212,500",AED
3.6,6,All Wheel Drive,83,9.6,Petrol,310,366,Automatic,210,7 Seater,7.0,4.917,1.915,1.676,2.858,362,GMC Acadia Denali 2021 3.6L V6 (AWD),"177,000",AED
2.0,4,All Wheel Drive,63,7.4,Petrol,246,365,Automatic,217,5 Seater,6.8,4.746,2.070,1.693,2.874,650,Jaguar F-Pace 2021 2.0T Prestige (250 PS),"247,065",AED
2.0,4,All Wheel Drive,63,7.4,Petrol,246,365,Automatic,217,5 Seater,6.8,4.746,2.070,1.693,2.874,650,Jaguar F-Pace 2021 2.0T Prestige LE (250 PS) ,"229,950",AED
4.0,6,All Wheel Drive,140,11.8,Petrol,275,395,Automatic,200,8 Seater,11.5,5.165,1.995,1.940,3.075,550,Nissan Patrol 2021 4.0L SE T2,"222,100",AED
2.0,4,Rear Wheel Drive,52,5.9,Petrol,184,270,Automatic,230,4 Seater,7.2,4.432,1.984,1.418,2.690,390,BMW 2 Series Coupe 2021 220i,"195,000",AED
5.0,N/A,All Wheel Drive,136,10.2,Petrol,360,515,Automatic,160,5 Seater,8.1,5.890,2.463,1.948,3.670,1568,Ford F-150 2021 5.0L V8 Crew Cab Lariat (Luxury+Chrome Pack),"236,145",AED
3.5,N/A,All Wheel Drive,87,11.2,Petrol,365,570,Automatic,160,5 Seater,6.0,5.890,2.463,1.948,3.670,1568,Ford F-150 2021 3.5L EcoBoost Crew Cab Lariat  (Luxury+Chrome Pack),"238,245",AED
4.0,6,All Wheel Drive,138,13.4,Petrol,271,385,Automatic,200,8 Seater,11.0,5.095,1.980,1.930,2.850,455,Toyota Land Cruiser 2021 4.0L EXR,"215,900",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.916,2.084,1.971,3.672,1500,RAM 1500 2021 5.7L Rebel (Double Cab),"216,000",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.309,2.017,1.910,3.061,1500,RAM 1500 2021 5.7L Big Horn (Regular Cab) ,"129,900",AED
5.7,8,All Wheel Drive,87,12.5,Petrol,395,556,Automatic,175,5 Seater,7.0,5.309,2.017,1.910,3.061,1500,RAM 1500 2021 5.7L Sport (Regular Cab) ,"145,900",AED
5.7,8,Rear Wheel Drive,70,12.4,Petrol,370,536,Automatic,250,5 Seater,5.6,5.040,1.905,1.480,3.052,455,Dodge Charger 2021 5.7L R/T,"149,900",AED
5.7,8,Rear Wheel Drive,70,15.5,Petrol,375,555,Automatic,250,5 Seater,5.6,5.040,1.905,1.480,3.052,455,Dodge Charger 2021 5.7L Daytona 392,"159,900",AED
5.7,8,Rear Wheel Drive,70,12.4,Petrol,370,536,Automatic,250,5 Seater,5.6,5.040,1.905,1.480,3.052,455,Dodge Charger 2021 5.7L R/T Highline ,"169,900",AED
3.0,6,Rear Wheel Drive,80,10.5,Petrol,400,475,Automatic,250,5 Seater,4.7,4.810,1.820,1.455,2.850,500,Infiniti Q50 2021 3.0T Red Sport 400,"218,250",AED
2.0,4,All Wheel Drive,58,6.3,Petrol,252,370,Automatic,250,4 Seater,5.8,4.673,1.846,1.371,2.764,465,Audi A5 Coupe 2021 45 TFSI quattro Design (252 HP), TBD ,Null
2.0,4,Rear Wheel Drive,74,6.8,Petrol,250,365,Automatic,244,5 Seater,6.6,4.954,2.091,1.457,2.960,540,Jaguar XF 2021 2.0T Prestige (250 PS),"245,175",AED
2.0,4,Rear Wheel Drive,60,6.2,Petrol,245,370,Automatic,250,2 Seater,5.8,4.133,1.810,1.301,2.430,335,Mercedes-Benz SLC 2021 300,"220,000",AED
4.6,8,All Wheel Drive,87,13.8,Petrol,292,438,Automatic,177,7 Seater,8.2,4.880,1.885,1.845,2.790,104,Lexus GX 2021 460 Premier ,"220,000",AED
3.6,6,All Wheel Drive,93,10.0,Petrol,290,350,Automatic,190,5 Seater,8.3,4.828,1.943,1.792,2.916,782,Jeep Grand Cherokee 2021 3.6L Limited,"169,900",AED
3.6,6,All Wheel Drive,93,10.0,Petrol,290,350,Automatic,190,5 Seater,8.3,4.828,1.943,1.792,2.916,782,Jeep Grand Cherokee 2021 3.6L Summit ,"203,000",AED
3.5,6,Rear Wheel Drive,66,9.0,Petrol,311,375,Automatic,235,5 Seater,5.7,4.705,1.840,1.435,2.800,480,Lexus IS 2021 350 F-Sport Prestige,"215,000",AED
2.0,4,Front Wheel Drive,60,7.3,Petrol,254,350,Automatic,220,5 Seater,6.8,4.688,1.902,1.658,2.865,505,Volvo XC60 2021 2.0T T5 FWD Momentum,"174,900",AED
2.0,4,Rear Wheel Drive,80,10.7,Petrol,241,350,Automatic,230,4 Seater,7.5,4.694,1.839,1.395,2.731,295,Lexus RC 2021 300 Premier ,"180,000",AED
3.6,6,All Wheel Drive,74,11.2,Petrol,335,386,Automatic,250,5 Seater,5.7,5.227,1.880,1.473,3.109,447,Cadillac CT6 Sedan 2021 3.6L V6 Premium Luxury , TBD ,Null
3.6,6,All Wheel Drive,74,11.2,Petrol,335,386,Automatic,250,5 Seater,5.7,5.227,1.880,1.473,3.109,447,Cadillac CT6 Sedan 2021 3.6L V6 Premium Luxury , TBD ,Null
2.0,4,All Wheel Drive,64,8.9,Petrol,280,400,Automatic,230,5 Seater,5.7,4.68,2.16,1.67,2.818,525,Alfa Romeo Stelvio 2021 Super,"211,900",AED
5.3,8,All Wheel Drive,100,13.0,Petrol,355,383,Automatic,180,9 Seater,7.5,5.351,2.057,1.927,3.070,2038,Chevrolet Tahoe 2021 5.3L LT 4WD,"198,900",AED
5.3,8,All Wheel Drive,117,13.0,Petrol,355,519,Automatic,175,9 Seater,10.0,5.690,2.045,1.890,3.302,2172,Chevrolet Suburban 2021 5.3L LT Z71, TBD ,Null
2.0,4,All Wheel Drive,70,7.3,Petrol,252,370,Automatic,237,5 Seater,6.3,4.753,1.893,1.659,2.808,550,Audi Q5 2021 45 TFSI quattro Sport,"210,420",AED
2.0,4,All Wheel Drive,70,7.3,Petrol,252,370,Automatic,237,5 Seater,6.3,4.753,1.893,1.659,2.808,550,Audi Q5 2021 45 TFSI quattro Design ,"210,360",AED
5.7,8,Rear Wheel Drive,70,12.4,Petrol,375,555,Automatic,250,5 Seater,5.4,5.027,1.923,1.460,2.950,459,Dodge Challenger 2021 5.7L R/T Plus,"175,900",AED
3.6,6,Rear Wheel Drive,72,11.9,Petrol,335,386,Automatic,250,5 Seater,5.2,4.966,1.834,1.453,2.911,385,Cadillac CTS 2021 3.6L V6 Luxury,"224,500",AED
3.5,6,Rear Wheel Drive,66,9.0,Petrol,311,375,Automatic,230,5 Seater,5.6,4.705,1.840,1.435,2.800,480,Lexus IS 2021 350 F-Sport Platinum,"245,000",AED
6.2,8,Rear Wheel Drive,72,11.1,Petrol,455,614,Automatic,250,4 Seater,4.0,4.784,1.897,1.348,2.811,258,Chevrolet Camaro Coupe 2021 6.2L SS (A/T),"215,700",AED
2.0,N/A,Rear Wheel Drive,66,6.8,Petrol,258,370,Automatic,250,4 Seater,5.9,4.686,1.810,1.405,2.840,400,Mercedes-Benz C-Class Coupe 2021 C 300,"225,000",AED
2.0,N/A,Rear Wheel Drive,55,6.1,Petrol,197,320,Automatic,240,2 Seater,6.6,4.324,1.864,1.304,2.470,281,BMW Z4 Roadster 2021 sDrive20i,"234,000",AED
2.0,4,All Wheel Drive,60,9.8,Petrol,235,350,Automatic,200,5 Seater,7.2,4.630,1.845,1.630,2.660,500,Lexus NX 2021 300 F Sport Platinum ,"230,000",AED
