Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
2.4,4,All Wheel Drive,60,9.5,Petrol,167,222,Automatic,198,7 Seater,10.2,4.695,1.810,1.680,2.670,291,Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Standard ,"88,935",SAR
1.4,N/A,Front Wheel Drive,35,6.3,Petrol,100,131,Automatic,182,4 Seater,10.7,3.546,1.627,1.488,2.300,185,Fiat 500 2021 1.4L Hatch Lounge ,"86,900",SAR
2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,5 Seater,11.0,4.690,1.830,1.740,2.705,550,Nissan X-Trail 2021 S AWD (5-Seater),"91,476",SAR
2.0,4,Front Wheel Drive,62,8.0,Petrol,153,192,Automatic,170,5 Seater,11.0,4.480,1.850,1.650,2.670,515,Hyundai Tucson 2021 2.0L Standard (FWD) ,"87,175",SAR
1.6,4,Front Wheel Drive,55,7.1,Petrol,121,151,Automatic,169,5 Seater,12.1,4.270,1.780,1.665,2.590,402,Hyundai Creta 2021 1.6L Top,"87,450",SAR
1.4,4,Front Wheel Drive,48,5.7,Petrol,140,230,Automatic,190,5 Seater,9.8,4.248,1.796,1.600,2.570,245,Fiat 500X 2021 1.4T City Cross,"76,115",SAR
2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,7 Seater,11.0,4.690,1.830,1.740,2.705,135,Nissan X-Trail 2021 S AWD (7-Seater),"88,440",SAR
2.4,N/A,Rear Wheel Drive,75,12.2,Petrol,175,228,Manual,182,3 Seater,14.5,5.150,1.920,1.935,3.200,5190,Hyundai H1 2021 3-Seater Panel Van M/T,"88,990",SAR
2.7,4,Rear Wheel Drive,80,11.1,Petrol,164,245,Manual,165,3 Seater,11.5,5.330,1.800,1.700,3.085,900,Toyota Hilux 2021 2.7L GLX M/T (4x2) Short,"89,010",SAR
2.7,4,Rear Wheel Drive,80,11.1,Petrol,164,245,Manual,165,3 Seater,11.5,5.330,1.800,1.700,3.085,900,Toyota Hilux 2021 2.7L GLX M/T (4x2) Short,"89,010",SAR
1.6,N/A,Front Wheel Drive,43,6.3,Petrol,123,150,Automatic,183,5 Seater,12.5,4.365,1.720,1.455,2.570,288,Kia Rio Sedan 2021 1.6L MPI,"62,590",SAR
2.4,4,Rear Wheel Drive,75,10.0,Petrol,128,202,Manual,169,6 Seater,11.0,5.300,1.815,1.780,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GL (2WD),"71,500",SAR
2.4,4,All Wheel Drive,75,8.5,Petrol,128,202,Manual,167,5 Seater,14.5,5.300,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GLX (4WD),"84,150",SAR
1.5,N/A,Front Wheel Drive,52,6.8,Petrol,120,151,Automatic,170,5 Seater,12.3,3.999,1.765,1.708,2.520,346,Ford EcoSport 2021 1.5 Ambiente,"90,750",SAR
1.6,4,Front Wheel Drive,52,6.1,Petrol,113,154,Automatic,180,5 Seater,10.4,4.615,1.760,1.495,2.700,510,Nissan Sentra 2021 1.6L S,"69,289",SAR
2.4,4,Rear Wheel Drive,75,9.5,Petrol,136,200,Manual,160,2 Seater,15.5,5.310,1.800,1.715,3.105,Null,Foton Tunland 2021 2.4L Single Cabin (4X2) ,"46,200",SAR
2.4,4,Rear Wheel Drive,75,9.5,Petrol,136,200,Manual,160,5 Seater,15.5,5.310,1.800,1.745,3.105,Null,Foton Tunland 2021 2.4L Double Cabin (4X2),"51,700",SAR
2.4,4,Front Wheel Drive,60,9.8,Petrol,155,225,Automatic,175,5 Seater,11.5,4.519 ,1.831 ,1.694,2.  670,580,Geely Emgrand X7 Sport 2021 2.4L GT (FWD),"73,343",SAR
2.4,4,All Wheel Drive,60,9.8,Petrol,155,225,Automatic,170,5 Seater,11.0,4.519 ,1.831 ,1.694,2.670,580,Geely Emgrand X7 Sport 2021 2.4L GW (AWD),"92,400",SAR
2.5,4,All Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.205,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.5L Double Cab GLS (4WD),"93,500",SAR
2.5,4,Rear Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.300,1.815,1.780,3.000,Null,Mitsubishi L200 2021 2.5L Single Cab GL (2WD) ,"68,200",SAR
2.4,4,Rear Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.205,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GLX Diesel (4WD),"88,935",SAR
2.4,4,Front Wheel Drive,48,8.5,Petrol,180,232,Automatic,175,5 Seater,8.5,4.236,1.805,1.667,2.570,351,Jeep Renegade 2021 2.4L Sport (4x2),"69,190",SAR
